tolerance,C,LinearSVC_accuracy,LinearSVC_training_time,LogisticRegression_accuracy,LogisticRegression_training_time
0.0025,0.001,0.956,0.9078018665313721,0.9,0.45302915573120117
0.0025,0.01,0.983625,1.4509570598602295,0.961125,0.43964219093322754
0.0025,0.1,0.990125,4.277853965759277,0.984875,0.6113770008087158
0.0025,1,0.992875,4.042514085769653,0.9915,0.5778298377990723
0.0025,10,0.990125,3.855520009994507,0.993125,0.7785160541534424
0.0025,100,0.98975,3.8492040634155273,0.993125,0.996492862701416
0.0025,1000,0.992,3.8949778079986572,0.992625,1.5406630039215088
0.75,0.001,0.95625,0.5414340496063232,0.9,0.3177621364593506
0.75,0.01,0.982375,0.7496418952941895,0.960875,0.38715195655822754
0.75,0.1,0.9885,1.7931528091430664,0.985,0.32964491844177246
0.75,1,0.992375,3.909604072570801,0.991375,0.5117931365966797
0.75,10,0.990625,3.9177041053771973,0.993125,0.49608397483825684
0.75,100,0.990625,3.8613953590393066,0.99275,0.5361907482147217
0.75,1000,0.989375,3.794179916381836,0.99275,0.549288272857666
